iter	Passed	Remaining
0	375	1876157
1	657	1643040
2	951	1584853
3	1254	1567037
4	1556	1555368
5	1829	1522576
6	2107	1503073
7	2383	1487324
8	2678	1485423
9	2984	1489145
10	3280	1487980
11	3605	1498646
12	3899	1495926
13	4193	1493520
14	4479	1488727
15	4761	1483308
16	5062	1483764
17	5351	1481111
18	5628	1475475
19	5912	1472166
20	6217	1474165
21	6496	1469889
22	6799	1471311
23	7100	1472094
24	7394	1471492
25	7681	1469496
26	7962	1466620
27	8241	1463471
28	8518	1460233
29	8791	1456465
30	9084	1456229
31	9378	1455981
32	9670	1455488
33	9954	1453892
34	10217	1449431
35	10497	1447438
36	10790	1447429
37	11066	1445052
38	11318	1439819
39	11577	1435550
40	11840	1432091
41	12134	1432436
42	12409	1430598
43	12700	1430516
44	12983	1429670
45	13295	1431864
46	13595	1432771
47	13894	1433498
48	14203	1435099
49	14471	1432706
50	14751	1431498
51	15044	1431588
52	15326	1430605
53	15594	1428319
54	15863	1426228
55	16140	1424937
56	16422	1424182
57	16687	1421878
58	16985	1422440
59	17303	1424648
60	17587	1423980
61	17874	1423646
62	18162	1423282
63	18437	1422008
64	18715	1420903
65	18970	1418216
66	19253	1417605
67	19528	1416421
68	19789	1414206
69	20061	1412911
70	20343	1412297
71	20616	1411068
72	20916	1411740
73	21262	1415380
74	21565	1416146
75	21910	1419554
76	22258	1423114
77	22629	1428004
78	22975	1431168
79	23306	1433377
80	23631	1435112
81	23953	1436606
82	24261	1437245
83	24538	1436102
84	24859	1437452
85	25163	1437857
86	25427	1435919
87	25737	1436596
88	26041	1436960
89	26313	1435560
90	26630	1436594
91	26917	1436004
92	27218	1436166
93	27509	1435756
94	27796	1435172
95	28078	1434360
96	28372	1434125
97	28660	1433596
98	28940	1432705
99	29220	1431792
100	29482	1430062
101	29740	1428107
102	30030	1427747
103	30300	1426438
104	30587	1425958
105	30874	1425460
106	31163	1425081
107	31423	1423389
108	31723	1423468
109	32001	1422609
110	32313	1423241
111	32593	1422453
112	32860	1421141
113	33120	1419523
114	33400	1418780
115	33689	1418457
116	33963	1417465
117	34231	1416235
118	34536	1416580
119	34826	1416261
120	35085	1414732
121	35370	1414237
122	35639	1413137
123	35911	1412142
124	36191	1411466
125	36477	1411045
126	36772	1410973
127	37059	1410562
128	37333	1409699
129	37602	1408641
130	37902	1408750
131	38180	1408042
132	38439	1406646
133	38703	1405461
134	38996	1405321
135	39262	1404215
136	39526	1403044
137	39809	1402557
138	40086	1401887
139	40340	1400408
140	40627	1400065
141	40905	1399433
142	41175	1398516
143	41454	1397942
144	41719	1396896
145	42011	1396729
146	42274	1395639
147	42571	1395642
148	42846	1394954
149	43126	1394437
150	43395	1393544
151	43660	1392535
152	43936	1391900
153	44198	1390823
154	44451	1389467
155	44719	1388595
156	45009	1388419
157	45301	1388280
158	45577	1387672
159	45852	1387029
160	46127	1386401
161	46415	1386152
162	46697	1385737
163	46997	1385838
164	47267	1385086
165	47549	1384666
166	47842	1384578
167	48097	1383379
168	48369	1382678
169	48644	1382069
170	48927	1381699
171	49216	1381507
172	49505	1381286
173	49769	1380385
174	50044	1379809
175	50332	1379571
176	50616	1379215
177	50894	1378716
178	51169	1378142
179	51455	1377857
180	51781	1378634
181	52040	1377646
182	52329	1377448
183	52620	1377283
184	52903	1376909
185	53182	1376465
186	53465	1376099
187	53785	1376681
188	54059	1376095
189	54332	1375470
190	54595	1374606
191	54873	1374128
192	55159	1373853
193	55445	1373558
194	55739	1373488
195	56055	1373919
196	56355	1373991
197	56669	1374372
198	56975	1374579
199	57280	1374739
200	57638	1376145
201	57965	1376835
202	58255	1376600
203	58532	1376081
204	58807	1375510
205	59186	1377369
206	59536	1378550
207	59832	1378456
208	60131	1378431
209	60393	1377550
